Age	Gender	Count
Under 17	Female	141
18 to 24	Female	869
25 to 34	Female	612
35 to 49	Female	475
50 or over	Female	307
Unknown	Female	10
Under 17	Male	251
18 to 24	Male	1930
25 to 34	Male	1527
35 to 49	Male	1371
50 or over	Male	1111
Unknown	Male	68
Under 17	Unknown	238
18 to 24	Unknown	1260
25 to 34	Unknown	1210
35 to 49	Unknown	744
50 or over	Unknown	816
Unknown	Unknown	3960
