com.gsnathan.pdfviewer - Cumulative average rating by country for 2018-02-23 - 2019-03-27
,,Metric,Cumulative average rating,Cumulative average rating,Cumulative average rating,Cumulative average rating,Notes
,,Dimension,All countries,Canada,Germany,India
Period,Date
2018-02-23 - 2019-03-27,2019-01-25,,4.55,4.63,4.42,3.78
2018-02-23 - 2019-03-27,2019-01-26,,4.55,4.63,4.42,3.78
2018-02-23 - 2019-03-27,2019-01-27,,4.55,4.63,4.41,3.78
2018-02-23 - 2019-03-27,2019-01-28,,4.55,4.63,4.41,3.78
2018-02-23 - 2019-03-27,2019-01-29,,4.55,4.63,4.42,3.78
2018-02-23 - 2019-03-27,2019-01-30,,4.55,4.63,4.43,3.78
2018-02-23 - 2019-03-27,2019-01-31,,4.55,4.63,4.43,3.78
2018-02-23 - 2019-03-27,2019-02-01,,4.55,4.63,4.43,3.78
2018-02-23 - 2019-03-27,2019-02-02,,4.56,4.63,4.43,3.78
2018-02-23 - 2019-03-27,2019-02-03,,4.56,4.63,4.44,3.78
2018-02-23 - 2019-03-27,2019-02-04,,4.57,4.63,4.44,3.78
2018-02-23 - 2019-03-27,2019-02-05,,4.55,4.63,4.41,3.78
2018-02-23 - 2019-03-27,2019-02-06,,4.55,4.63,4.41,3.78
2018-02-23 - 2019-03-27,2019-02-07,,4.56,4.63,4.41,3.90
2018-02-23 - 2019-03-27,2019-02-08,,4.55,4.63,4.40,3.90
2018-02-23 - 2019-03-27,2019-02-09,,4.55,4.63,4.40,3.90
2018-02-23 - 2019-03-27,2019-02-10,,4.56,4.63,4.41,3.90
2018-02-23 - 2019-03-27,2019-02-11,,4.56,4.63,4.42,3.90
2018-02-23 - 2019-03-27,2019-02-12,,4.56,4.63,4.42,3.90
2018-02-23 - 2019-03-27,2019-02-13,,4.56,4.63,4.42,3.90
2018-02-23 - 2019-03-27,2019-02-14,,4.55,4.63,4.40,3.90
2018-02-23 - 2019-03-27,2019-02-15,,4.55,4.63,4.40,4.00
2018-02-23 - 2019-03-27,2019-02-16,,4.54,4.63,4.40,4.00
2018-02-23 - 2019-03-27,2019-02-17,,4.54,4.63,4.40,4.00
2018-02-23 - 2019-03-27,2019-02-18,,4.54,4.63,4.40,4.00
2018-02-23 - 2019-03-27,2019-02-19,,4.54,4.63,4.40,4.00
2018-02-23 - 2019-03-27,2019-02-20,,4.54,4.63,4.40,4.00
2018-02-23 - 2019-03-27,2019-02-21,,4.54,4.63,4.40,4.00
2018-02-23 - 2019-03-27,2019-02-22,,4.54,4.63,4.40,4.00,Rollout of release - Started rollout of 2.7 at 100%
2018-02-23 - 2019-03-27,2019-02-23,,4.53,4.63,4.40,4.00
2018-02-23 - 2019-03-27,2019-02-24,,4.53,4.63,4.40,4.00
2018-02-23 - 2019-03-27,2019-02-25,,4.53,4.63,4.40,4.00
2018-02-23 - 2019-03-27,2019-02-26,,4.53,4.63,4.40,4.00
2018-02-23 - 2019-03-27,2019-02-27,,4.53,4.63,4.40,4.00
2018-02-23 - 2019-03-27,2019-02-28,,4.54,4.63,4.41,4.00
2018-02-23 - 2019-03-27,2019-03-01,,4.54,4.63,4.41,4.00
2018-02-23 - 2019-03-27,2019-03-02,,4.54,4.63,4.42,4.00
2018-02-23 - 2019-03-27,2019-03-03,,4.54,4.63,4.42,4.00
2018-02-23 - 2019-03-27,2019-03-04,,4.54,4.63,4.42,4.00
2018-02-23 - 2019-03-27,2019-03-05,,4.54,4.63,4.42,4.00
2018-02-23 - 2019-03-27,2019-03-06,,4.53,4.63,4.38,4.00
2018-02-23 - 2019-03-27,2019-03-07,,4.53,4.63,4.38,4.00
2018-02-23 - 2019-03-27,2019-03-08,,4.53,4.63,4.38,4.00
2018-02-23 - 2019-03-27,2019-03-09,,4.53,4.63,4.38,4.00
2018-02-23 - 2019-03-27,2019-03-10,,4.53,4.63,4.38,4.00
2018-02-23 - 2019-03-27,2019-03-11,,4.53,4.63,4.38,4.00
2018-02-23 - 2019-03-27,2019-03-12,,4.53,4.63,4.40,4.00
2018-02-23 - 2019-03-27,2019-03-13,,4.53,4.63,4.40,4.00
2018-02-23 - 2019-03-27,2019-03-14,,4.53,4.63,4.39,4.00
2018-02-23 - 2019-03-27,2019-03-15,,4.53,4.63,4.39,4.00
2018-02-23 - 2019-03-27,2019-03-16,,4.54,4.63,4.40,4.00
2018-02-23 - 2019-03-27,2019-03-17,,4.54,4.63,4.40,4.00
2018-02-23 - 2019-03-27,2019-03-18,,4.54,4.63,4.40,4.00
2018-02-23 - 2019-03-27,2019-03-19,,4.54,4.63,4.41,4.00
2018-02-23 - 2019-03-27,2019-03-20,,4.54,4.63,4.41,4.00
2018-02-23 - 2019-03-27,2019-03-21,,4.54,4.63,4.41,4.00
2018-02-23 - 2019-03-27,2019-03-22,,4.53,4.63,4.41,4.00
2018-02-23 - 2019-03-27,2019-03-23,,4.53,4.63,4.41,4.00
2018-02-23 - 2019-03-27,2019-03-24,,4.53,4.63,4.41,4.08
2018-02-23 - 2019-03-27,2019-03-25,,-,-,-,-
2018-02-23 - 2019-03-27,2019-03-26,,-,-,-,-
2018-02-23 - 2019-03-27,2019-03-27,,-,-,-,-
